Año;Localidad;Descripción;Categoría;Fuente;Pag;
1970;Bustinza;"(Línea de Alta Tensión): Conexión de la localidad a la red eléctrica nacional o provincial.
Cita: ""Ejemplo de ello fue la integración de Bustinza a la línea de Alta Tensión a partir del año 1970""";Huellas de la energía;Origen y formación de Bustinza;54;
1973;Bustinza;"(Transferencia del Servicio Eléctrico): Cambio en la administración del suministro.
Cita: ""...en Julio de 1973... la Comuna aprueba la transferencia del servicio eléctrico a cargo de la Cooperativa de Electricidad de Bustinza Limitada a la Empresa de Agua y Energía Eléctrica""";Huellas de la energía;Origen y formación de Bustinza;60;
1978;Bustinza;"(Tractor con pala hidráulica): Modernización del parque automotor comunal.
Cita: ""Durante el transcurso de 1978 la Comuna adquirió un Tractor con pala hidráulica frontal para efectuar trabajos de urbanización...""";Huellas de la energía;Origen y formación de Bustinza;61;
1983-1987;Bustinza;"(Luminarias de Vapor de Mercurio y Sodio): Modernización de la iluminación urbana.
Cita: ""Reacondicionamiento general del alumbrado público con luminarias a vapor de mercurio y gas de sodio""";Huellas de la energía;Origen y formación de Bustinza;62;
1880;Bustinza;"Creación de la Escuela Elemental Mixta): Se decreta oficialmente la primera institución educativa formal.
Cita: ""...en fecha 30 de enero de 1880, afirmando que está en condiciones de acuerdo a lo estipulado por la Ley de Educación, para la creación de escuelas. En consecuencia el Poder Ejecutivo Provincial, decreta oficialmente la creación de una Escuela Elemental Mixta, nombrando preceptor de ella al propuesto Santiago Cuestas""";Huellas de la infraestructura y las  instituciones;Origen y formación de Bustinza;32-33;
1948;Bustinza;"(Donación de terreno para Escuela Fiscal Nº 823): Hito para la infraestructura escolar propia.
Cita: ""...en el mes de Abril del mismo año el Sr. Antonio Ubino dona una hectárea de terreno de campo para construir el edificio de la Escuela Fiscal Nº 823""";Huellas de la infraestructura y las  instituciones;Origen y formación de Bustinza;52;
1972;Bustinza;"(Biblioteca Popular en Escuela de Campo Mosca): Vinculación de cultura y educación rural.
Cita: ""También en el orden cultural se hace la inauguración de la Biblioteca Popular Bernardino Rivadavia, en la Escuela Nº 598 de Campo Mosca""";Huellas de la infraestructura y las  instituciones;Origen y formación de Bustinza;60;
1910;Bustinza;"Primer Cinematógrafo): Inauguración del primer local de cine por iniciativa privada. Cita: ""Por este año se procede a inaugurar el Primer Cinematógrafo local de Bustinza... surgió merced a la iniciativa de Camilo Soto y de Martín Beltrán...""";Huellas de la identidad y la celebración;Origen y formación de Bustinza;37;
1951;Bustinza;"1951 (Inauguración de Biblioteca): Suma de un nuevo espacio cultural para la localidad.
Cita: ""...complementando dichas obras con la inauguración de una Biblioteca en la localidad""";Huellas de la identidad y la celebración;Origen y formación de Bustinza;53;
1972;Bustinza;"1972 (Archivo, Museo Histórico y Biblioteca): Institucionalización de la memoria colectiva.
Cita: ""En Setiembre de 1972 fue creado el Archivo y Museo Histórico Comunal... También en el orden cultural se hace la inauguración de la Biblioteca Popular Bernardino Rivadavia..."".";Huellas de la identidad y la celebración;Origen y formación de Bustinza;60;
1974;Bustinza;"(29 de Abril - Centenario del Pueblo): Gran celebración por los 100 años de la fundación de la localidad.
Cita: ""En 1974 se fija como fecha de fundación del pueblo el día 29 de Abril y se procede a organizar los festejos del Centenario del pueblo"".";Huellas de la identidad y la celebración;Origen y formación de Bustinza;60;
1905;Bustinza;"(Conflicto y reclutamiento forzoso): Impacto de la inestabilidad política en la población masculina en edad de trabajar.
Cita: ""El 4 de febrero de 1905, representantes de la autoridad policial departamental llegaron, de improviso, a esta población y procedieron al reclutamiento forzoso de los hombres en edad de servir. Fueron conducidos a Cañada de Gómez, donde permanecieron acantonados por el término de una semana""";Huellas del trabajo;Origen y formación de Bustinza;37;
1930;Bustinza;"(Estadística de producción y población rural): Datos sobre la distribución de la tierra y el trabajo.
Cita: ""...se obtienen los siguientes datos: Población Rural: 2.000 h., Población Urbana: 800 h... Hectáreas cultivadas: Maíz: 4.635 has., Trigo: 2.122 has., Lino: 1.897 has."".";Huellas del trabajo;Origen y formación de Bustinza;48;
1967;Bustinza;"(Censo de empleados y producción): Detalle de la fuerza laboral administrativa y operativa, junto a niveles de cosecha.
Cita: ""Empleados comunales: 2 empleados administrativos, 2 obreros y 10 obreros a jornal... Producción: 4.425 hectáreas sembradas con trigo, 2.647 hectáreas sembradas con maíz, 1.880 hectáreas sembradas con alfalfa"".";Huellas del trabajo;Origen y formación de Bustinza;58;
1974;Bustinza;"(Radicación de industrias): Planificación para expandir la actividad productiva en el centenario del pueblo.
Cita: ""Además la Comuna adjudicó terrenos para radicación de industrias en las Manzanas 34, 47, 54, 35, 39 y 32, hecho éste realizado en 1975"".";Huellas del trabajo;Origen y formación de Bustinza;60;
1875;Departamental;"Establecimiento de línea de mensajerías: Simón Capurro establece un servicio que conectaba diversas colonias y permitía el flujo de correspondencia antes de la llegada del ferrocarril.
Cita: “...a partir de 1875, Simón Capurro establece una línea de mensajerías que partiendo de San Lorenzo pasa por las colonias Jesús María (Timbúes) y Santa Teresa (Totoras), llegando hasta la colonia Caridad (San Genaro)...”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;64-65;
1882;Departamental;"Mensajería para correspondencia de Atanasio Escobal: Se registra otra línea que recorría las estancias locales.
Cita: “Otra mensajería fue la de Atanasio Escobal, establecida el 15/6/1882... probablemente por conducir correspondencia”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;64-65;
1892;Clason;"Llegada del Telégrafo: El servicio llegó de la mano de la construcción de la línea ferroviaria.
Cita: “Junto con el ferrocarril vino otra innovación importante: el telégrafo, que permitía una rápida comunicación con lugares distantes.”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;91-92;
1910;Clason;"Transporte informal de correspondencia: Se utilizaba a personas que viajaban a la estación o Rosario para el envío de cartas.
Cita: “Juan Zamarro relató hacia 1910: ‘...me mandaban a la escuela y cuando llevé la correspondencia tenía esta orden: a la mañana ir y llevar las cosas y a la tarde llevar la correspondencia e ir al colegio.’”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;128-129;
1930;Clason;"Estafeta de correos: El pueblo ya contaba con una oficina formal para el servicio postal.
Cita: “A comienzos de los años 30, el pueblo cuenta con... una estafeta de correos.”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;126-127;
1930;Clason;"Telefonía privada en estancias: Las primeras líneas conectaban las grandes propiedades rurales con la estación.
Cita: “Los Leones y luego La Alpina estaban comunicadas desde hace tiempo, probablemente la década de 1930, con sendas líneas telefónicas privadas con la estación de ferrocarril y entre sí.”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;160-161;
1966;Clason;"Instalación de teléfono en la Comuna: Se logra el primer acceso público/institucional al servicio telefónico a través de una cooperativa.
Cita: “En 1966, la Comuna de Clason... constituyeron un consorcio para conectarse a la Cooperativa Telefónica de San Genaro. Especialmente el teléfono instalado en la Comuna significó el acceso a ese medio de comunicación para la población del pueblo...”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;162-163;
1970;Clason;"Cabina telefónica pública: Se instala un punto de comunicación para la población general.
Cita: “En 1970 se instaló una cabina pública conectada mediante radioenlace con San Lorenzo.”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;162-163;
1992;Clason;"Inauguración de la Central Telefónica: Modernización del sistema con capacidad para múltiples líneas individuales.
Cita: “...se construyó una central telefónica para satisfacer las necesidades del pueblo, que comenzó a funcionar el 19 de septiembre de 1992 con 43 líneas.”";Huellas del transporte y las comunicaciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;162-163;
1879;Clason;"Vapor, Tracción Animal y Viento
1879 – Primer molino a vapor: Se establece en la estancia La Germania el primer molino de este tipo en la región.
Cita: “Asimismo, un molino a vapor, el primero de la región (databa de 1879) y que –al menos en 1887– molía más trigo que los molinos de Totoras y San Genaro juntos.”";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;52;
1880;;"Difusión de trilladoras a vapor: Las máquinas accionadas por caballos (malacates) comienzan a ser reemplazadas por motores a vapor. Cita: “Las primeras trilladoras eran movidas por caballos atados a un malacate, pero muy pocos años después fueron reemplazadas por las impulsadas por locomóviles.”
Cita: “En la década del 80 se empezaron a difundir las espigadoras que segaban y cargaban directamente la mies sobre chatas que la transportaban a la parva... y finalmente se trillaba el trigo... con una trilladora estacionaria movida por una locomóvil (un motor a vapor que se alimentaba con la paja del trigo).”";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;74-76;
1887;Departamental;"Registro censal de maquinaria y energía: El censo de este año muestra una importante infraestructura de vapor y los primeros usos del viento en el distrito Santa Teresa.
Cita: Según la tabla ""Máquinas Distr. Sta. Teresa, 1887"": Trilladoras a vapor: 25; Máq. a vapor para agríc.: 6; Máq. movidas por el viento: 1.
 (Página 238).
Cita: En cuanto a la industria harinera, el distrito contaba con 2 molinos con una ""Total potencia instalada (CV)"" de 24.";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;239;
1895;Clason;"Consolidación del vapor en el distrito Larguía:
Cita: Según la tabla ""Máquinas Subdistrito Larguía, 1895"": Trilladoras a vapor: 8; Máquinas a vapor: 2; Máquinas a agua: 30";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;248;
1920;Clason;"Llegada del tractor: Comienza la mecanización motorizada en las estancias.
Cita: “Los primeros tractores fueron adquiridos por las estancias de la zona hacia fines de la década del 20. Un modelo muy difundido fue el Deering 15-30, un tractor que tenía 30 caballos en la polea.”";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;132;
1976;Clason;"Inicio de la electrificación rural: Se inicia el tendido de red eléctrica para los campos del distrito.
Cita: “En 1976, mediante un plan de electrificación rural consistente en ayuda crediticia, se pudo conectar a la red de energía eléctrica la gran mayoría de los predios del distrito.”";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;162;
1979;Clason;"Electrificación del pueblo de Clason: El servicio de energía llega finalmente al área urbana.
Cita: “Un tiempo después, en 1979, también el pueblo pudo contar con energía eléctrica, suministrada por la misma cooperativa a través de la Comuna...”";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;162;
1997;Clason;"Traspaso de la distribución eléctrica: La Empresa Provincial de la Energía (EPE) asume la distribución del servicio.
Cita: “...y desde 1997 por EPE, la Empresa Provincial de Energía al hacerse cargo de la distribución.”";Huellas de la energía;Matreros, estancieros, colonos y puebleros: la historia de Clason;162;
1874;Clason;"Funcionamiento de escuela en la estancia La Germania: Aunque en 1872 no había establecimientos, para esta fecha ya se registraba actividad escolar.
Cita: “Wilcken, en 1872 no había escuela en La Germania, pero dos años después funcionaba allí una a la que asistían 19 chicos según Coelho.”";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;65;
1905;Clason;"Fundación de la Escuela N° 770 en Pueblo Médici:
Cita: “A los pocos años de formarse el caserío inicial, en 1905, se fundó una escuela de primeras letras (actualmente escuela N° 770 ‘Gregoria Matorras’).”";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;148;
1924;Clason;"Fundación de la Escuela N° 216: Inicio formal de la educación pública en el pueblo de Clason.
Cita: “En 1924 la Provincia fundó la escuela N° 216 ‘Domingo Faustino Sarmiento’. Al principio, estuvo alojada en una casa muy modesta...”.";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;129;
1937;Clason;"Inauguración de la Escuela N° 6286 “Udino Galetto”: Ubicada en el campo de la estancia La Paz.
Cita: “...fue inaugurada en marzo de 1937 en el campo de la estancia ‘La Paz’. Unos años después Udino Galetto donó una hectárea de terreno... y ladrillos para construir una escuela.”";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;130;
1939;Clason;"Escuela Rural N° 261:
Cita: “La escuela N° 261, ubicada en las cercanías de la estancia La Germania, fundada en 1939...”. ";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;129;
1942;Clason;"Escuela N° 973:
Cita: “...la escuela N° 973 (actualmente CER N° 524) en el campo ‘El Ensayo’, al sur del distrito, creada en 1942...”.";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;129;
1957;Clason;"Construcción del edificio actual de la Escuela N° 216:
Cita: “...recién hasta 1957 se construyó el edificio que ocupa actualmente...”. ";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;129;
1970;Clason;"Inauguración del Centro Cívico: Un espacio clave para la vida institucional y social que centralizó varias funciones.
Cita: “En 1970 se inauguró el centro cívico, que alberga la comuna, la comisaría y el juzgado de paz...”.";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;156;
2008;Clason;"Inicio del nivel secundario técnico:
Cita: “...un anexo en Clason con la orientación ‘Técnico en Informática Profesional y Personal’. Sus actividades comenzaron en 2008...”.";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;158;
2011;Clason;"Cesión de terreno para nuevo edificio secundario:
Cita: “Es así como en 2011 la Comuna transfiere un terreno de poco más de 2.500 m2 al Ministerio de Educación de la Provincia con cargo a construir un nuevo edificio escolar.”";Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;158;
2004;Clason;"Inauguración del Museo Interactivo del Queso: Un nuevo hito cultural y turístico.
Cita: “En 2004 La Juanchesca S.A. constituida por descendientes de Angel Médici comenzaron un emprendimiento de turismo rural... A esto se agrega un Museo Interactivo del Queso con demostraciones didácticas para escolares en la fábrica de queso.”";Huellas de la identidad y la celebración;Matreros, estancieros, colonos y puebleros: la historia de Clason;150;
1869;Clason;"Perfil laboral de la población primitiva: El censo de este año muestra una ocupación mayoritariamente precaria y dependiente.
Cita: “El 64,8% de la población ocupada de 14 o más años de edad eran jornaleros, el 20,6% eran operarios calificados (‘labradores’, albañiles, etc.) y el 7,8% ‘estancieros’.”
";Huellas del trabajo;Matreros, estancieros, colonos y puebleros: la historia de Clason;60-61;
1887;Clason;"Consolidación del pequeño productor (Colono): Los censos reflejan el cambio de identidad laboral hacia el trabajo propio en la tierra.
Cita: “Según Larguía en 1869 un 16,9% de los hombres ocupados eran labradores; en 1887 el 45,8% eran agricultores... Esto confirma la fuerte presencia de pequeños productores, los colonos que trabajan en su predio...”";Huellas del trabajo;Matreros, estancieros, colonos y puebleros: la historia de Clason;76-77;
1945;Clason;"Sindicalización del trabajo rural y del transporte: Bajo el gobierno peronista, se formalizan las organizaciones de trabajadores.
Cita: “Con el advenimiento del peronismo se fundó en Clason... el Sindicato de Trabajadores Rurales y Estibadores en 1945. La contratación de personal para la cosecha... se debía hacer obligatoriamente en el sindicato.” Cita: “Es así como también en Clason se estableció un sindicato de camioneros en 1945 al que productores agrarios y los acopiadores debían recurrir para pedir camiones...”";Huellas del trabajo;Matreros, estancieros, colonos y puebleros: la historia de Clason;136-137;
1960;Clason;"Paso de la cosecha en bolsas al granel: Este hito eliminó la necesidad de estibadores y juntadores, provocando un impacto social.
Cita: “El movimiento de bolsas cesó cuando en la primer mitad de la década del 60 se pasó de la cosecha en bolsas al granel... significó un ahorro de mano de obra e implicó una reducción del costo del producto... pero perjudica transitoriamente a ciertos sectores de trabajadores.”";Huellas del trabajo;Matreros, estancieros, colonos y puebleros: la historia de Clason;134-135;
1995;Departamental;Mediados de la década de 1990 – Revolución de la Siembra Directa: Cita: “...a partir de mediados de la década de 1990 una nueva tecnología revolucionó este concepto: la siembra directa... el ahorro de tiempo es sinónimo de ahorro de mano de obra e indirectamente también hace menos necesaria la permanencia constante del productor en su predio.”;Huellas del trabajo;Matreros, estancieros, colonos y puebleros: la historia de Clason;134-135;
1997;Clason;Conflicto por la radicación de la Cárcel Federal: Una disputa sobre el modelo de desarrollo (trabajo industrial/penitenciario vs. seguridad rural). Cita: “...los habitantes del pueblo pues veían en ella la posibilidad de nuevas fuentes de trabajo, tanto directas en la cárcel como indirectas en la localidad. En contra se hallaba principalmente la población rural... preocupada por la inseguridad...”;Huellas de la infraestructura y las  instituciones;Matreros, estancieros, colonos y puebleros: la historia de Clason;163-172;
1903;Serodino;"Creación de la Oficina Mixta. Se establece el servicio formal bajo administración nacional.
Cita: ""En el año 1903 la administración nacional creó en el nuevo pueblo una 'Oficina Mixta' de correos y telégrafos. Fue su primer Jefe el señor José López Quinteros""";Huellas del transporte y las comunicaciones;Serodino. Un pueblo santafesino;123;
1928;Serodino;"1928: Conexión a la red nacional. Serodino se destaca por ser pionero en la región en contar con este servicio.
Cita: ""Serodino fué una de las primeras poblaciones de la zona que contó con servicio telefónico, conectado a la red nacional de este medio. Se instaló en el año 1928, en la misma casa que hoy ocupa en calle Las Heras entre Urquiza y Gral. López""";Huellas del transporte y las comunicaciones;Serodino. Un pueblo santafesino;125;
1920;Serodino;"Década de 1920: Primeros experimentos y receptores.
Cita: ""Cuando la radiotelefonía era sólo un anuncio de posibilidades, década del año veinte, Diego ya experimentaba con otros amigos y tenía uno de los primeros receptores del Pueblo""";Huellas del transporte y las comunicaciones;Serodino. Un pueblo santafesino;50;
1928-1936;Serodino;"Sincronización con el Ferrocarril: El correo dependía estrechamente de los horarios ferroviarios para el intercambio de correspondencia.
Cita: ""Una carta que llegaba de Rosario en el tren de las ocho era contestada por el comerciante en el tren de las 4 de la tarde. La correspondencia llegada de Buenos Aires en el tren de las 2 p.m. era respondida con el de las 4 o con el de las 7""";Huellas del transporte y las comunicaciones;Serodino. Un pueblo santafesino;126;
1888;Serodino;"Primer farol de la localidad. La primera Comisión de Fomento adquiere un farol para iluminación estratégica.
Cita: ""En el año 1888 fue designada la primera Comisión de Fomento de la naciente población, uno de cuyos miembros, el tesorero Antenor Videla, tuvo la ocurrencia, a título alegórico, de comprar un farol y colocarlo en la esquina más estratégica""";Huellas de la energía;Serodino. Un pueblo santafesino;99;
1891;Serodino;"Inicio formal del alumbrado público. Se decide la compra e instalación de faroles para el servicio del pueblo.
Cita: ""...el 8/11/1891 se decide la compra de un farol al señor Antenor Videla para instalarlo en sitio adecuado, hecho que marca el comienzo del alumbrado público, siendo Serodino una de las primeras poblaciones surgidas en tiempos coincidentes que contó con este importante servicio""";Huellas de la energía;Serodino. Un pueblo santafesino;71;
1910;Serodino;"Contrato de suministro eléctrico. Firma del primer contrato para el abastecimiento de energía.
Cita: ""El 20/10/1910 se celebra un contrato con la Empresa Luz Eléctrica, establecida en el kilómetro 381 del Río Carcarañá, para el suministro de energía eléctrica a la población, tanto para uso público como privado...""";Huellas de la energía;Serodino. Un pueblo santafesino;73;
1912;Serodino;"Inauguración del servicio de luz eléctrica. Comienza la prestación con una estación transformadora.
Cita: ""El servicio de luz eléctrica se comienza a prestar en el año 1912 con una estación transformadora a cargo del técnico señor Rossy. El suministro del fluido se hacía desde la usina hidroeléctrica de Lucio V. López...""";Huellas de la energía;Serodino. Un pueblo santafesino;187;
1931;Serodino;"Traspaso a SUDAM. La empresa multinacional se hace cargo del servicio. Cita: ""En el año 1931 la multinacional Compañía Sudamericana de Servicios Públicos (SUDAM), sucesora de los belgas Lange y Rosié, es prestadora del servicio""";Huellas de la energía;Serodino. Un pueblo santafesino;187;
1950;Serodino;La empresa estatal Agua y Energía comienza a hacerse cargo del suministro electrico, todavía proveniente de la usina de Lucio. V. López;Huellas de la energía;Serodino. Un pueblo santafesino;187;
1981;Serodino;Comienza la atención la atención de la Dirección Provincial de la Enegía de Santa Fe. La corriente es provista por línea de alta tensión desde San Lorenzo y distribuida e la localidad por varias subestaciones transformadoras.;Huellas de la energía;Serodino. Un pueblo santafesino;187;
1963-1968;Serodino;"Modernización con vapor de mercurio. Renovación de la tecnología de iluminación urbana.
Cita: ""Se inaugura el primer tramo de iluminación a vapor de mercurio en el tramo de calle España..."" (1963)
 y ""El 26/11/1969 se cursa nota a las instituciones... sobre 'Electrificación Rural' y el 12/5/1968 se realizará una reunión... concluyendo en todos los detalles la obra de iluminación a vapor de Mercurio""";Huellas de la energía;Serodino. Un pueblo santafesino;83, 85;
1895;Serodino;"Incorporación de trilladoras. La firma Bonifatti Hnos. introduce maquinaria de gran escala para el agro.
Cita: ""BONIFATTI HNOS: Firma fundada en 1895 por don José Bonifatti... casa cerealista, con máquina trilladora, etc. y camiones para el traslado de cereales""";Huellas de la energía;Serodino. Un pueblo santafesino;49;
1904-1911;Serodino;"Fabricación y reparación de molinos de viento. Durante este periodo, la herrería local atendía estas infraestructuras vitales para la energía eólica.
Cita: ""En época de la administración comunal de don Juan Cutura (1911)... se ponían en condiciones los molinos de viento, se construían y reparaban los elásticos de los vehículos, etc.""";Huellas de la energía;Serodino. Un pueblo santafesino;53;
1920-1930;Serodino;"Uso de tractores en el ferrocarril. Se registra el uso de fuerza motriz mecánica para maniobras en la estación.
Cita: ""...con el auxilio de un tractor (algún viejo y forzudo 'Fordson') que se enganchaba delante de los mismos y tiraba desplazándose sobre los durmientes... Hablamos de la década de 1920 y 1930""";Huellas de la energía;Serodino. Un pueblo santafesino;45;
1951;Serodino;"Generación de vapor en la industria. Instalación de calderas en la fábrica Inquiarse S.A.
Cita: ""...quiso probar el funcionamiento de una caldera destinada a generar vapor, una de cuyas cañerías tenía desperfectos, con tan mala fortuna que el técnico sufrió quemaduras de tal gravedad que le ocasionaron la muerte""";Huellas de la energía;Serodino. Un pueblo santafesino;59, 131;
1888;Serodino;"Creación de la Escuela N° 257. Es la primera escuela primaria de la localidad.
Cita: ""En ese año , a su solicitud, se crea la Escuela Nº 257 'Gral. José de San Martín'"".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;13;
1914;Serodino;"Creación de la Escuela N° 258. Se funda por nota el 8 de febrero y comienza a funcionar en una casa alquilada.
Cita: ""Escuela Nº 258 'Domingo Faustino Sarmiento'. Fecha de creación: 8/2/14... Dicha escuela comenzó a funcionar en la casa del Sr. Pablo Giampaoli quien la alquiló por cuarenta pesos mensuales"".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;171;
1925;Serodino;"Creación de la Escuela N° 227. Institución rural ubicada en el campo de Raffo.
Cita: ""Esta escuela, de jurisdicción nacional, fue creada el 25 de febrero de 1925 y funcionaba en un local bajo la dirección del señor Severo Farías..."".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;176;
1936;Serodino;"Funcionamiento de la Escuela N° 264. Ubicada en Campo Stangaferro.
Cita: ""Desarrolla su función educativa desde el año 1936. Depende de la escuela 'Domingo F. Sarmiento' Nº 258 de Serodino..."".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;175;
1958;Serodino;"Escuela de Comercio N° 9. Hito de la educación secundaria; inauguración oficial y posterior edificio propio.
Cita: ""La escuela se inauguró oficialmente el día 15 de marzo de 1958... El día 29 de marzo de 1960... se procedió a la inauguración, entregando oficialmente el edificio al gobierno provincial"".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;180;
1962;Serodino;"Fundación de la Escuela Parroquial N° 171.
Cita: ""Escuela Parroquial Nº 171 'San José'... Año de fundación: 1962"".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;173;
1915;Serodino;"Fundación del Club Atlético Belgrano. Nacido de la fusión de dos clubes previos.
Cita: ""Al fundarse el Club Belgrano en el año 1915 este torero figura entre los fundadores de la institución..."".";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;131 y 149;
1933;Serodino;"Fundación del Club Atlético Boca Juniors.
Cita: ""El Club Atlético Boca Juniors fue fundado el 1 de julio de 1933...""";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;155;
1935;Serodino;"Construcción de la pileta de natación (C.A. Belgrano).
Cita: ""La pileta de natación se inaugura el 20 de enero de 1935 y la portada""";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;151;
1983;Serodino;"Edificio propio para la Mutual del C.A. Belgrano.
Cita: ""En el año 1983, se compra en remate judicial una casa antigua con un lote de terreno muy amplio sobre el Bv. San Martín, el que se destinaría a nuestro edificio propio""";Huellas de la infraestructura y las  instituciones;Serodino. Un pueblo santafesino;153-154;
1889;Serodino;"Creación de la primera banda de música. La Sociedad ""El Sol Argentino"" recibe apoyo para la compra de instrumentos.
Cita: ""El 20/12/1889 se acuerda a la Sociedad 'El Sol Argentino' una subvención para la adquisición de instrumentos para la formación de una banda de música en la localidad, sin duda una de las primeras manifestaciones del orden cultural que registra la incipiente vida de la población""";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;70;
1920;Serodino;"Los ""Soles de Mayo"". Conciertos públicos que amenizaban las reuniones sociales.
Cita: ""Las reuniones de ensayo se hacían en los años 30... amenizaba muchas reuniones públicas y sus conciertos solazaron durante varios años a los vecinos y se llamaba entonces 'Soles de Mayo'""";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;128;
1912-1920;Serodino;"Corridas de toros. Eventos taurinos organizados frente a la estación ferroviaria.
Cita: ""En el año 1912, poco más o menos, llegó a Serodino un español... se trata de ANTONIO SOLIS... se organizaron corridas de toros más o menos auténticas que se hacían en un terreno frente al ferrocarril""";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;131;
1921;Serodino;"Inicio de las veladas teatrales. Representaciones artísticas de alumnos y aficionados locales.
Cita: ""Recuerdan algunos que una de las primeras veladas teatrales se realizó en el Cine Belgrano, en el año 1921, con intervención de los alumnos de la escuela particular de Bomben y Tartaletti... entre los 'artistas' figuraban Domingo Scietto, Raúl Coletto, Diego Franceschini, Víctor Pazzi y otros""";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;144;
1930;Serodino;"Corsos de Carnaval. Participación de jóvenes en eventos humorísticos y culturales.
Cita: ""...durante un carnaval llevaron a la práctica cuando los jóvenes Bollero y Luppo se pasearon por el corso vestidos de levita, galera y bastón ostentando en sus espaldas sendas leyendas que decían 'El Imparcial'""";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;142;
1934;Serodino;"1934: Fundación de la Agrupación ""Estudios"". Grupo dedicado a la difusión de corrientes literarias y conferencias.
Cita: ""...constituida en el año 1934 por un grupo de libre pensadores, encabezados por el señor Juan Saldivia... aparentemente quisieron traer al ambiente serodinense las nuevas corrientes liberales que se insinuaban en la literatura""
";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;129;
1986;Serodino;"Celebración del Centenario. Evento cumbre que motivó la publicación del libro histórico.
Cita: ""En momentos en que los serodinenses nos aprestamos para celebrar jubilosamente el primer centenario de la fundación de nuestro pueblo...""";Huellas de la identidad y la celebración;Serodino. Un pueblo santafesino;68;
1912;Serodino;"Influencia del Grito de Alcorta. El Dr. Francisco Netri incluyó a los colonos de Serodino en sus discursos sobre la reivindicación agraria.
Cita: ""El Dr. Francisco Netri, líder y mártir de la causa agraria, fundador de la F.A.A. en agosto de 1912, en uno de sus discursos tiene un recuerdo para los colonos de Serodino...""";Huellas del trabajo;Serodino. Un pueblo santafesino;166-167;
1932;Serodino;"Reflotamiento de la Federación Agraria (Sección Serodino). Surge como respuesta a la necesidad de los trabajadores del agro de organizarse ante la crisis.
Cita: ""En el año 1932 un grupo de asociados encabezados por don José Píccolo y con el concurso de... reflotaron la Sección. En apoyo de la prédica gremial circulaba profusamente en ese tiempo el diario 'La Tierra' llevando a las chacras el aliento de la organización""";Huellas del trabajo;Serodino. Un pueblo santafesino;166-167;
